(1) 1-Heptanol;C7H16O⁠; [111-70-6],"4L. Erichsen, Brennst.-Chem.33, 166 (1952).",,,,
(2) Water;H2O⁠; [7732-18-5],"6H. Fühner, Ber. Dtsch. Chem. Ges.57, 510 (1924).",,,,
,,,"70S. Tokunaga, M. Manabe, and M. Koda, Mem. Niihama Technical College, Sci. Eng.16, 96 (1980).",,
,,,"89R. Stephenson, J. Stuart, and M. Tabak, J. Chem. Eng. Data29, 287 (1984).",,
,,,"97C. C. Addison, J. Chem. Soc,1945, 98 (1945).",,
,,,"128D. J. T. Hill and L. R. White, Aust. J. Chem.27, 1905 (1974).",,
,,,"123M. V. Ionin and P. I. Shanina, Zh. Neorg. Khim.17, 1444 (1972).",,
,,,"171A. S. Aljimaz, M. S. H. Fandary, J. A. Alkandary, and M. A. Fahim, J. Chem. Eng. Data45, 301 (2000).",,
Reference liquid–liquid equilibrium data,,,,,
Water rich phase,Alcohol rich phase,,,,
T(K),"x1,exp","x1,calc",T(K),"x2,exp","x2,calc"
273.15,0.00036700000000000003,0.00034300000000000004,288.15,0.282 ,0.257
283.69,0.00031,0.000291,293.15,0.243 ,0.260
288.23,0.00029,0.000276,298.15,0.284 ,0.263
291.09,0.000278,0.00026900000000000003,303.15,0.261 ,0.267
293.15,0.000267,0.000264,308.15,0.292 ,0.271
295.05,0.000266,0.00026000000000000003,313.15,0.282 ,0.275
297.11,0.000261,0.000257,323.15,0.302 ,0.285
299.19,0.00025600000000000004,0.000254,473.15,0.661 ,0.602
301.17,0.000254,0.000252,483.15,0.692 ,0.640
303.15,0.00025,0.00025,493.15,0.727 ,0.684
306.05,0.00025,0.000248,503.15,0.767 ,0.741
308.05,0.00024900000000000004,0.00024700000000000004,513.15,0.821 ,0.825
312.95,0.00025800000000000004,0.00024700000000000004,518.15,0.863 ,0.886
323.25,0.000251,0.000254,,,
333.15,0.000276,0.00026900000000000003,,,
343.25,0.000317,0.000294,,,
353.25,0.000337,0.00032900000000000003,,,
363.65,0.00037799999999999997,0.00038,,,
373.15,0.000443,0.00044100000000000004,,,
383.15,0.000521,0.000524,,,
393.15,0.0006690000000000001,0.000634,,,
403.15,0.000802,0.000777,,,
413.15,0.001,0.000965,,,
423.15,0.0012,0.00121,,,
433.15,0.0015,0.0015400000000000001,,,
443.15,0.0019,0.00196,,,
453.15,0.0025,0.0025299999999999997,,,
463.15,0.0032,0.0033,,,
473.15,0.004200000000000001,0.0043300000000000005,,,
483.15,0.0056,0.00578,,,
493.15,0.0076,0.00789,,,
503.15,0.011000000000000001,0.0113,,,
513.15,0.0171,0.0177,,,
518.15,0.0245,0.0236,,,
