(1) 1-Nonanol;C9H20O⁠; [143-08-8],"4L. Erichsen, Brennst.-Chem.33, 166 (1952).",,,,
(2) Water;H2O⁠; [7732-18-5],"19R. Stephenson and J. Stuart, J. Chem. Eng. Data31, 56 (1986).",,,,
,,,"37K. Kinoshita, H. Ishikawa, and K. Shinoda, Bull. Chem. Soc. Jpn.31, 1081 (1958).",,
,,,"70S. Tokunaga, M. Manabe, and M. Koda, Mem. Niihama Technical College, Sci. Eng.16, 96 (1980).",,
,,,"72R. Vochten and G. Petre, J. Colloid Interface Sci.42, 320 (1973).",,
Reference liquid–liquid equilibrium data,,,,,
Water rich phase,Alcohol rich phase,,,,
T(K),"x1,exp","x1,calc",T(K),"x2,exp","x2,calc"
288.15,1.7e-05,1.66e-05,273.15,0.246 ,0.252
298.15,1.7e-05,1.6100000000000002e-05,282.95,0.236 ,0.250
363.65,3.7000000000000005e-05,3.6400000000000004e-05,288.15,0.262 ,0.251
,,,293.15,0.241 ,0.251
,,,298.15,0.265 ,0.252
,,,302.75,0.246 ,0.253
,,,303.15,0.263 ,0.253
,,,308.15,0.267 ,0.255
,,,312.75,0.247 ,0.257
,,,313.15,0.265 ,0.257
,,,322.95,0.247 ,0.263
,,,333.25,0.252 ,0.269
,,,353.35,0.263 ,0.286
