"(1) 2,2-Dimethyl-1-propanol;C5H12O⁠; [75-84-3]","59M. Ratouis and M. Dode, Bull. Soc. Chim. Fr. 3318 (1965)",,
(2) Water;H2O⁠; [7732-18-5],"88P. M. Ginnings and R. Baum, J. Am. Chem. Soc.59, 1111 1937).",,
,,"89R. Stephenson, J. Stuart, and M. Tabak, J. Chem. Eng. Data29, 287 (1984).",
Reference liquid–liquid equilibrium data,,,
T(K),Water rich phase,Alochol rich phase,
"x1,exp","x1,calc","x2,calc",
285.15,0.0078,0.00817,0.337
291.95,0.0073,0.00738,0.348
293.15,0.00788,0.0072699999999999996,0.350
298.15,0.00675,0.00684,0.359
303.15,0.006690000000000001,0.00651,0.367
313.15,0.0056,0.00604,0.385
333.15,0.005200000000000001,0.0057,0.421
353.15,0.0054,0.00595,0.459
