Name,"T1,min","lnx1,min",C1,D1,α1,T2c,Nc*
1-Butanol,330.0,−4.12,27.71,0.911,−30,398.0,
2-Methyl-1-propanol,330.0,−4.03,32.34,0.858,−30,406.3,
"2,2-Dimethyl-1-propanol",333.8,−5.17,27.4,,,,4.70
2-Methyl-1-butanol,332.3,−5.33,27.9,,,,4.82
3-Methyl-1-butanol,331.7,−5.38,28.1,,,,4.86
1-Pentanol,330.0,−5.58,29.7,1.299,−20,459.8,5
2-Ethyl-1-butanol,322.0,−6.56,31.7,,,,5.72
1-Hexanol,319.3,−6.94,32.9,0.713,−20,490.5,6
2-Methyl-1-pentanol,321.0,−6.70,32.1,,,,5.82
"2,2-Dimethyl-1-butanol",321.2,−6.67,32.1,,,,5.69
1-Heptanol,311.1,−8.31,37.1,0.440,−40,517.7,7
2-Ethyl-1-hexanol,306.4,−9.25,40.0,,,,7.69
1-Octanol,304.5,−9.67,41.30,1.239,−50,545.0,8
1-Nonanol,299.1,−11.04,45.5,,,,9
1-Decanol,294.7,−12.40,49.7,,,,10
1-Undecanol,290.9,−13.77,53.9,,,,11
1-Dodecanol,287.7,−15.13,58.1,,,,12
1-Tetradecanol,282.5,−17.86,66.50,,,,14
1-Hexadecanol,278.4,−20.59,74.90,,,,16
